               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.051082,            0.023051,           0.0072267,           0.0063754,             0.66667,           0.0079869,          0.00079869,            0.077446,              86.777,              5.2904,           0.0067161,           0.0067161,            0.035716
                  72,            0.044889,            0.015918,           0.0025714,          0.00037037,             0.33333,           0.0012708,          0.00012708,            0.076758,              159.97,              8.0938,           0.0068052,           0.0068052,            0.034805
                  73,            0.046288,            0.017116,           0.0057975,          0.00037037,             0.33333,           0.0011516,          0.00011516,            0.076864,               229.9,              10.479,           0.0068942,           0.0068942,            0.033894
                  74,            0.050466,            0.017592,           0.0039862,          0.00037037,             0.33333,          0.00086824,          8.6824e-05,            0.076866,              218.32,              8.7701,            0.006983,            0.006983,            0.032983
                  75,            0.044177,            0.016627,            0.010687,            0.011877,             0.66667,            0.015352,           0.0030818,            0.077079,               214.4,              8.1281,           0.0070716,           0.0070716,            0.032072
                  76,             0.04872,            0.018423,           0.0034514,           0.0032279,             0.66667,           0.0078066,           0.0013032,                 nan,                 nan,              10.303,           0.0071601,           0.0071601,             0.03116
                  77,            0.047409,            0.016574,           0.0048966,           0.0029593,             0.66667,           0.0064654,           0.0010086,                 nan,                 nan,               18.44,           0.0072485,           0.0072485,            0.030248
                  78,            0.050367,            0.018897,            0.012868,           0.0022013,             0.66667,           0.0078062,           0.0015612,                 nan,                 nan,              12.448,           0.0073367,           0.0073367,            0.029337
                  79,            0.053853,            0.016691,           0.0090619,             0.33586,             0.66667,            0.009733,            0.002408,            0.077157,              132.11,              4.4855,           0.0074247,           0.0074247,            0.028425
                  80,            0.050172,             0.01828,           0.0063976,            0.058538,                   1,             0.17597,            0.052342,            0.077137,              90.638,              2.5075,           0.0075126,           0.0075126,            0.027513
                  81,            0.048976,            0.019785,           0.0097068,            0.056102,                   1,            0.068838,             0.01429,            0.077349,              69.327,              5.2548,           0.0076004,           0.0076004,              0.0266
                  82,            0.043404,            0.015614,            0.002793,           0.0042912,             0.66667,             0.01539,            0.003078,            0.077043,              45.647,                4.14,           0.0076879,           0.0076879,            0.025688
                  83,            0.046618,            0.015464,           0.0053343,          0.00082508,             0.33333,            0.012756,           0.0025513,            0.076846,              31.151,              4.6756,           0.0077754,           0.0077754,            0.024775
                  84,            0.048029,            0.017369,            0.007673,          0.00094967,             0.33333,           0.0021125,          0.00042251,            0.076943,              21.251,              4.3259,           0.0078627,           0.0078627,            0.023863
                  85,             0.04362,            0.014786,            0.010555,           0.0042809,             0.66667,            0.011749,           0.0029416,            0.076881,              20.401,              1.9562,           0.0079498,           0.0079498,             0.02295
                  86,            0.047006,            0.019019,            0.006653,           0.0034423,             0.66667,            0.010728,           0.0026423,            0.076944,              28.003,              1.0964,           0.0080368,           0.0080368,            0.022037
                  87,             0.04698,            0.017938,           0.0079343,             0.34176,             0.66667,            0.014468,           0.0041692,            0.076968,              31.155,             0.95809,           0.0081236,           0.0081236,            0.021124
                  88,            0.045056,            0.018788,           0.0034999,            0.015801,             0.66667,            0.043909,            0.007715,            0.076795,              28.234,             0.69609,           0.0082103,           0.0082103,             0.02021
                  89,             0.03599,            0.013962,           0.0072684,             0.33382,             0.33333,           0.0052646,           0.0010529,            0.076484,              47.136,              1.5793,           0.0082968,           0.0082968,            0.019297
                  90,            0.041929,            0.018152,             0.00287,          0.00054025,             0.33333,            0.001132,          0.00022639,            0.076673,              26.037,              1.2733,           0.0083832,           0.0083832,            0.018383
                  91,              0.0423,            0.016942,           0.0055886,            0.066374,             0.66667,            0.085003,           0.0087089,            0.069588,              8.9249,             0.36079,           0.0084694,           0.0084694,            0.017469
                  92,            0.050296,            0.014971,           0.0034963,             0.35417,             0.33333,             0.04085,           0.0079908,            0.074379,              2.7487,             0.13961,           0.0085554,           0.0085554,            0.016555
                  93,            0.045151,            0.014178,           0.0086232,             0.34137,             0.66667,            0.014216,           0.0032559,            0.076642,              2.9166,             0.28711,           0.0086413,           0.0086413,            0.015641
                  94,            0.045366,            0.016481,           0.0033513,             0.34188,             0.33333,            0.021801,           0.0045605,            0.075373,              2.9459,             0.31757,           0.0087271,           0.0087271,            0.014727
                  95,            0.045281,            0.016262,           0.0067259,             0.34667,             0.33333,            0.064491,           0.0070729,            0.072709,               2.614,              0.2878,           0.0088127,           0.0088127,            0.013813
                  96,            0.053886,             0.01457,           0.0070809,             0.33898,             0.33333,            0.023165,           0.0043228,            0.067128,              3.9936,               0.244,           0.0088982,           0.0088982,            0.012898
                  97,            0.055866,             0.01204,            0.010447,            0.026723,                   1,             0.52119,             0.10424,             0.06919,             0.71055,            0.082678,           0.0089835,           0.0089835,            0.011983
                  98,            0.049541,            0.016496,           0.0062191,             0.38255,             0.66667,             0.40906,            0.075454,            0.070022,             0.69004,              0.1925,           0.0090686,           0.0090686,            0.011069
                  99,            0.049288,            0.015346,           0.0063986,             0.44137,             0.66667,             0.37669,            0.072787,            0.068233,             0.96783,             0.20543,           0.0091536,           0.0091536,            0.010154
                 100,             0.04423,            0.018319,            0.017822,             0.68333,             0.33333,            0.047716,           0.0069768,            0.068443,             0.94481,             0.29098,           0.0092385,           0.0092385,           0.0092385
                 101,            0.050615,            0.014976,           0.0065634,             0.33503,             0.33333,           0.0020348,          0.00032677,            0.072593,               1.637,             0.83048,           0.0092385,           0.0092385,           0.0092385
                 102,            0.043165,            0.019826,            0.002804,           0.0028986,             0.33333,           0.0049502,          0.00049502,            0.071809,              2.9767,              1.1718,           0.0092308,           0.0092308,           0.0092308
                 103,            0.054709,             0.01413,           0.0071815,           0.0010953,             0.33333,           0.0029351,          0.00029351,            0.075724,               2.466,              1.1826,           0.0092232,           0.0092232,           0.0092232
                 104,            0.047135,            0.015252,            0.014926,                   0,                   0,                   0,                   0,            0.076191,              0.8141,             0.79517,           0.0092156,           0.0092156,           0.0092156
                 105,            0.052425,            0.014855,           0.0038529,          0.00037037,             0.33333,          0.00048775,          4.8775e-05,            0.074444,             0.39169,             0.59947,            0.009208,            0.009208,            0.009208
                 106,            0.046701,            0.014506,           0.0055428,          0.00037037,             0.33333,          0.00044579,          4.4579e-05,            0.074106,             0.36115,              0.5796,           0.0092004,           0.0092004,           0.0092004
                 107,            0.052388,            0.013902,            0.011142,          0.00037037,             0.33333,          0.00057382,          5.7382e-05,            0.075923,             0.60431,             0.78863,           0.0091928,           0.0091928,           0.0091928
                 108,             0.04156,            0.015877,           0.0047181,           0.0016582,             0.33333,           0.0017456,          0.00017456,            0.076037,              1.6764,               1.146,           0.0091852,           0.0091852,           0.0091852
                 109,            0.042441,            0.020011,             0.01244,           0.0016858,             0.33333,           0.0075379,          0.00087708,            0.075626,              1.8909,             0.94333,           0.0091775,           0.0091775,           0.0091775
                 110,             0.03656,            0.016051,           0.0073512,             0.34314,             0.33333,            0.025513,           0.0034726,            0.074539,              1.9141,             0.64423,           0.0091699,           0.0091699,           0.0091699
                 111,            0.038112,            0.017278,             0.00388,            0.013663,             0.66667,            0.036957,           0.0073914,             0.07382,              1.7976,             0.45128,           0.0091623,           0.0091623,           0.0091623
                 112,            0.041237,             0.01634,           0.0040134,            0.030303,             0.33333,              0.0699,           0.0082942,             0.07403,              1.3949,             0.30636,           0.0091547,           0.0091547,           0.0091547
                 113,            0.041648,            0.014772,           0.0083909,           0.0057533,             0.66667,            0.028234,           0.0041505,            0.073841,              1.4371,             0.25521,           0.0091471,           0.0091471,           0.0091471
