               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,             0.20741,            0.011557,                   0,             0.99469,                   1,               0.995,             0.91386,             0.27351,           0.0082906,                   0,           0.0096645,           0.0096645,           0.0096645
                  63,             0.20584,            0.011244,                   0,             0.99655,                   1,               0.995,              0.9386,             0.23971,           0.0065818,                   0,            0.009659,            0.009659,            0.009659
                  64,             0.20625,            0.011125,                   0,             0.78339,              0.7973,              0.7867,             0.52331,             0.41258,              0.0191,                   0,           0.0096535,           0.0096535,           0.0096535
                  65,              0.2229,            0.011814,                   0,             0.99448,                   1,               0.995,             0.93609,             0.23051,           0.0074045,                   0,            0.009648,            0.009648,            0.009648
                  66,             0.21407,            0.011576,                   0,             0.99263,                   1,               0.995,             0.88801,             0.24324,           0.0082336,                   0,           0.0096425,           0.0096425,           0.0096425
                  67,             0.20086,            0.011291,                   0,             0.99817,                   1,               0.995,             0.95486,             0.23186,           0.0072282,                   0,            0.009637,            0.009637,            0.009637
                  68,             0.21489,            0.011203,                   0,                   1,             0.94676,             0.99161,             0.86273,             0.27508,            0.017477,                   0,           0.0096315,           0.0096315,           0.0096315
                  69,             0.22526,            0.012288,                   0,             0.97295,                   1,               0.995,             0.88494,             0.25943,           0.0072809,                   0,            0.009626,            0.009626,            0.009626
                  70,             0.21412,            0.011507,                   0,             0.99605,                   1,               0.995,             0.90285,             0.24193,           0.0091014,                   0,           0.0096205,           0.0096205,           0.0096205
                  71,             0.20538,            0.011035,                   0,              0.9977,                   1,               0.995,             0.95361,              0.2266,           0.0099537,                   0,            0.009615,            0.009615,            0.009615
                  72,             0.20725,            0.011072,                   0,             0.99708,                   1,               0.995,             0.93124,             0.22979,           0.0066499,                   0,           0.0096095,           0.0096095,           0.0096095
                  73,              0.2029,            0.010927,                   0,                   1,             0.99575,               0.995,             0.92346,             0.23984,           0.0066681,                   0,            0.009604,            0.009604,            0.009604
                  74,             0.19732,            0.010204,                   0,             0.99671,                   1,               0.995,             0.94906,             0.22873,           0.0071781,                   0,           0.0095985,           0.0095985,           0.0095985
                  75,             0.19714,            0.010177,                   0,             0.99497,                   1,               0.995,             0.95193,             0.22688,            0.016004,                   0,            0.009593,            0.009593,            0.009593
                  76,             0.19641,            0.010475,                   0,             0.98457,                   1,               0.995,             0.95059,             0.22804,           0.0054695,                   0,           0.0095875,           0.0095875,           0.0095875
                  77,             0.19256,            0.010222,                   0,             0.99742,                   1,               0.995,             0.93694,             0.22939,           0.0050586,                   0,            0.009582,            0.009582,            0.009582
                  78,             0.20109,            0.010068,                   0,             0.99454,                   1,               0.995,             0.95591,             0.22984,           0.0070351,                   0,           0.0095765,           0.0095765,           0.0095765
                  79,             0.20316,             0.01041,                   0,             0.99459,                   1,               0.995,             0.94497,             0.22989,           0.0072331,                   0,            0.009571,            0.009571,            0.009571
                  80,             0.20009,            0.010661,                   0,             0.99142,                   1,               0.995,             0.94806,             0.22806,           0.0073159,                   0,           0.0095655,           0.0095655,           0.0095655
                  81,             0.20845,            0.010965,                   0,             0.99458,                   1,               0.995,             0.92378,             0.23766,           0.0052894,                   0,             0.00956,             0.00956,             0.00956
                  82,             0.20405,            0.010551,                   0,             0.99779,                   1,               0.995,             0.92928,             0.22826,            0.006809,                   0,           0.0095545,           0.0095545,           0.0095545
                  83,             0.20046,            0.010627,                   0,             0.98142,                   1,             0.99473,             0.94253,             0.22673,           0.0059919,                   0,            0.009549,            0.009549,            0.009549
                  84,             0.20286,            0.010793,                   0,             0.99524,                   1,               0.995,             0.94908,             0.22955,           0.0057997,                   0,           0.0095435,           0.0095435,           0.0095435
                  85,              0.2079,            0.010526,                   0,              0.9969,                   1,               0.995,             0.95221,             0.22954,           0.0058028,                   0,            0.009538,            0.009538,            0.009538
                  86,             0.20406,            0.010483,                   0,             0.99697,                   1,               0.995,              0.9421,             0.22586,           0.0079199,                   0,           0.0095325,           0.0095325,           0.0095325
                  87,             0.19816,            0.010769,                   0,             0.99419,                   1,               0.995,             0.95744,             0.22789,           0.0053504,                   0,            0.009527,            0.009527,            0.009527
                  88,             0.20492,            0.010261,                   0,             0.99322,                   1,               0.995,             0.96061,             0.22441,           0.0050735,                   0,           0.0095215,           0.0095215,           0.0095215
                  89,             0.20736,            0.010871,                   0,             0.99489,                   1,               0.995,             0.95873,             0.23235,            0.006758,                   0,            0.009516,            0.009516,            0.009516
                  90,             0.19682,            0.010287,                   0,             0.99706,                   1,               0.995,             0.95626,             0.22812,           0.0059659,                   0,           0.0095105,           0.0095105,           0.0095105
                  91,             0.19211,           0.0097614,                   0,             0.99648,                   1,               0.995,             0.96128,             0.22065,           0.0052446,                   0,            0.009505,            0.009505,            0.009505
                  92,             0.19463,             0.01004,                   0,              0.9934,                   1,               0.995,             0.94244,             0.22526,           0.0066975,                   0,           0.0094995,           0.0094995,           0.0094995
                  93,             0.19772,           0.0099377,                   0,             0.98574,                   1,               0.995,             0.94218,             0.23003,           0.0071694,                   0,            0.009494,            0.009494,            0.009494
                  94,             0.19145,            0.010125,                   0,             0.99597,                   1,               0.995,             0.93582,             0.22608,           0.0074445,                   0,           0.0094885,           0.0094885,           0.0094885
                  95,             0.19611,           0.0095605,                   0,             0.99505,                   1,               0.995,             0.96911,             0.22292,            0.004994,                   0,            0.009483,            0.009483,            0.009483
                  96,             0.19485,           0.0098881,                   0,             0.99715,                   1,               0.995,             0.96259,              0.2238,           0.0057857,                   0,           0.0094775,           0.0094775,           0.0094775
                  97,             0.19828,            0.010098,                   0,             0.99354,                   1,               0.995,             0.95214,             0.22794,           0.0061104,                   0,            0.009472,            0.009472,            0.009472
                  98,             0.19192,           0.0094786,                   0,             0.99129,                   1,               0.995,             0.96533,             0.21789,            0.004651,                   0,           0.0094665,           0.0094665,           0.0094665
                  99,             0.19017,           0.0094293,                   0,              0.9966,                   1,               0.995,             0.96668,             0.22264,           0.0060983,                   0,            0.009461,            0.009461,            0.009461
                 100,             0.19411,           0.0095579,                   0,             0.99492,                   1,               0.995,              0.9747,              0.2177,           0.0047699,                   0,           0.0094555,           0.0094555,           0.0094555
                 101,             0.20134,            0.009792,                   0,             0.99655,                   1,               0.995,             0.96302,             0.22554,           0.0086812,                   0,             0.00945,             0.00945,             0.00945
                 102,             0.19947,            0.009907,                   0,             0.99163,                   1,               0.995,             0.94205,             0.23766,           0.0060794,                   0,           0.0094445,           0.0094445,           0.0094445
                 103,             0.19642,           0.0099009,                   0,             0.99811,                   1,               0.995,             0.94734,              0.2281,           0.0051484,                   0,            0.009439,            0.009439,            0.009439
                 104,             0.19658,            0.010064,                   0,             0.99511,                   1,               0.995,             0.96112,             0.22508,           0.0048951,                   0,           0.0094335,           0.0094335,           0.0094335
                 105,             0.19821,            0.010107,                   0,              0.9996,             0.98649,             0.99392,             0.94719,             0.22171,           0.0056692,                   0,            0.009428,            0.009428,            0.009428
                 106,             0.22745,            0.013187,                   0,             0.36505,             0.24324,             0.16994,            0.073066,                 nan,                 nan,                   0,           0.0094225,           0.0094225,           0.0094225
                 107,             0.22993,            0.013317,                   0,             0.80826,             0.27027,             0.26812,             0.18791,              1.0302,            0.060791,                   0,            0.009417,            0.009417,            0.009417
                 108,             0.21624,            0.012133,                   0,             0.99711,                   1,               0.995,              0.9146,             0.23707,           0.0079404,                   0,           0.0094115,           0.0094115,           0.0094115
                 109,             0.20849,            0.011371,                   0,             0.99688,                   1,               0.995,             0.95314,             0.22505,           0.0083786,                   0,            0.009406,            0.009406,            0.009406
